url	date	query	title	company	status
https://job-boards.greenhouse.io/anthropic/jobs/5055488008	2026-04-15	Greenhouse API	Applied AI Engineer	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5014500008	2026-04-15	Greenhouse API	Applied AI Engineer	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5116274008	2026-04-15	Greenhouse API	Applied AI Engineer	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5068226008	2026-04-15	Greenhouse API	Applied AI Engineer, Beneficial Deployments	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5057647008	2026-04-15	Greenhouse API	Applied AI Engineer (Digital Natives Business)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5111942008	2026-04-15	Greenhouse API	Applied AI Engineer, Life Sciences (Beneficial Deployments)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5073277008	2026-04-15	Greenhouse API	Applied AI Engineer (Startups)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4985877008	2026-04-15	FDE — All portals	Forward Deployed Engineer, Applied AI	Anthropic	added
https://job-boards.greenhouse.io/arizeai/jobs/5969145004	2026-04-15	Greenhouse API	AI Application Engineer	Arize AI	added
https://job-boards.greenhouse.io/arizeai/jobs/5661972004	2026-04-15	Greenhouse API	AI Engineer, Instrumentation	Arize AI	added
https://job-boards.greenhouse.io/arizeai/jobs/5797408004	2026-04-15	Greenhouse API	AI Solutions Engineer	Arize AI	added
https://job-boards.greenhouse.io/arizeai/jobs/5769693004	2026-04-15	Greenhouse API	AI Solutions Engineer (Charlotte)	Arize AI	added
https://job-boards.greenhouse.io/arizeai/jobs/5396396004	2026-04-15	Greenhouse API	Senior AI Product Engineer, Backend	Arize AI	added
https://job-boards.greenhouse.io/arizeai/jobs/5396420004	2026-04-15	Greenhouse API	Senior AI Product Engineer, Fullstack	Arize AI	added
https://job-boards.greenhouse.io/gleanwork/jobs/4605215005	2026-04-15	Greenhouse API	Machine Learning Engineer, AI Assistant & Autonomous AI Agents	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4669417005	2026-04-15	Greenhouse API	Machine Learning Engineer, LLM Evals & Observability	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4006735005	2026-04-15	Greenhouse API	Machine Learning Engineer, Search Quality	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4501783005	2026-04-15	Greenhouse API	Software Engineer, AI Infrastructure	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4651991005	2026-04-15	Greenhouse — Forward Deployed & Platform	Founding Forward Deployed Engineer	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4651990005	2026-04-15	Greenhouse — Forward Deployed & Platform	Founding Forward Deployed Engineer	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4659412005	2026-04-15	Greenhouse — Forward Deployed & Platform	Founding Forward Deployed Engineer	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4616929005	2026-04-15	Greenhouse API	Software Engineer, Agentic Runtime	Glean	added
https://job-boards.greenhouse.io/hightouch/jobs/5542602004	2026-04-15	Greenhouse API	Software Engineer, AI Agents	Hightouch	added
https://job-boards.greenhouse.io/hightouch/jobs/5809895004	2026-04-15	Greenhouse API	Software Engineer - AI Productivity	Hightouch	added
https://job-boards.greenhouse.io/scaleai/jobs/4536659005	2026-04-15	Greenhouse API	Applied AI Engineer, Enterprise	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4514173005	2026-04-15	Greenhouse API	Applied AI Engineer, Enterprise GenAI	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4413992005	2026-04-15	Greenhouse API	Applied AI Engineer, Global Public Sector	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4593571005	2026-04-15	Greenhouse — Forward Deployed & Platform	Forward Deployed Engineer, GenAI	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4413274005	2026-04-15	Greenhouse API	Machine Learning Engineer, Global Public Sector	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4625344005	2026-04-15	Greenhouse API	Machine Learning Research Engineer, Agents - Enterprise GenAI	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4490301005	2026-04-15	Greenhouse API	Machine Learning Research Engineer, GenAI Applied ML	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4520320005	2026-04-15	Greenhouse API	Senior AI Infrastructure Engineer, Model Serving Platform	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4597399005	2026-04-15	FDE — All portals	Senior Forward Deployed AI Engineer, Enterprise	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4658162005	2026-04-15	Greenhouse API	Senior/Staff Machine Learning Engineer, General Agents, Enterprise GenAI	Scale AI	added
https://job-boards.greenhouse.io/intercom/jobs/7556413	2026-04-15	Greenhouse API	Forward Deployed Software Engineer	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7462098	2026-04-15	Greenhouse — Forward Deployed & Platform	Senior Forward Deployed Engineer	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7218259	2026-04-15	Greenhouse — Forward Deployed & Platform	Senior Forward Deployed Engineer	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7382846	2026-04-15	Greenhouse API	Senior Product Engineer, AI Platform	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/6466001	2026-04-15	Greenhouse API	Senior Product Engineer - AI Platform	Intercom	added
https://job-boards.greenhouse.io/airtable/jobs/8409168002	2026-04-15	Greenhouse API	AI Agent Architect, Customer Experience	Airtable	added
https://job-boards.greenhouse.io/airtable/jobs/8477376002	2026-04-15	Greenhouse — Forward Deployed & Platform	Forward Deployed Engineer, EMEA	Airtable	added
https://job-boards.greenhouse.io/vercel/jobs/5778418004	2026-04-15	Greenhouse — Forward Deployed & Platform	Forward-Deployed Engineer	Vercel	added
https://job-boards.greenhouse.io/vercel/jobs/5872425004	2026-04-15	Greenhouse — Forward Deployed & Platform	Forward Deployed Engineer, v0	Vercel	added
https://job-boards.greenhouse.io/vercel/jobs/5752684004	2026-04-15	Greenhouse — Forward Deployed & Platform	Forward-Deployed Engineer	Vercel	added
https://job-boards.greenhouse.io/celonis/jobs/7681593003	2026-04-15	Greenhouse API	Applied AI Engineer	Celonis	added
https://job-boards.eu.greenhouse.io/polyai/jobs/4796935101	2026-04-15	Voice AI — Engineer roles	Forward Deployed AI Engineer (PST timezone)	PolyAI	added
https://job-boards.greenhouse.io/defenseunicorns/jobs/4980238007	2026-04-15	Greenhouse — AI Engineer	Forward Deployed AI Engineer	Defense Unicorns	added
https://job-boards.eu.greenhouse.io/axiomaticai/jobs/4720346101	2026-04-15	Greenhouse API	Applied AI Engineer	Axiomatic AI	added
https://job-boards.eu.greenhouse.io/axiomaticai/jobs/4704647101	2026-04-15	Greenhouse API	Senior Applied AI Engineer	Axiomatic AI	added
https://job-boards.eu.greenhouse.io/axiomaticai/jobs/4798988101	2026-04-15	Greenhouse — Forward Deployed & Platform	Forward Deployed Engineer	Axiomatic AI	added
https://job-boards.greenhouse.io/contentful/jobs/7753183	2026-04-15	Greenhouse API	Senior Backend Engineer - AI Platform	Contentful	added
https://job-boards.greenhouse.io/contentful/jobs/7776562	2026-04-15	Greenhouse API	Senior Backend Engineer - AI Platform	Contentful	added
https://job-boards.greenhouse.io/contentful/jobs/7557680	2026-04-15	Greenhouse API	Senior Machine Learning Engineer	Contentful	added
https://job-boards.greenhouse.io/contentful/jobs/7487850	2026-04-15	Greenhouse API	Senior Machine Learning Engineer	Contentful	added
http://stability.ai/careers?gh_jid=4712826101	2026-04-15	Greenhouse API	Generative AI Inference Engineer	Stability AI	added
https://jobs.ashbyhq.com/bland/d8199cb9-04e8-4638-ad03-b93fb189034d	2026-04-15	Ashby — Agentic & MLOps	Machine Learning Engineer, TTS Systems	Bland AI	added
https://jobs.ashbyhq.com/bland/823904dd-f958-45c8-8e9a-4d9755cd03f0	2026-04-15	FDE — All portals	Forward Deployed Engineer	Bland AI	added
https://jobs.ashbyhq.com/elevenlabs/6c4c57c1-ec72-42ba-af3a-eb7aebbde2e6	2026-04-15	FDE — All portals	Forward Deployed Engineer - Software Engineer	ElevenLabs	added
https://jobs.ashbyhq.com/vapi/b6b9f2a4-d165-4800-8370-b87259d3bd9a	2026-04-15	FDE — All portals	Member of Technical Staff, Forward Deployed, NYC	Vapi	added
https://jobs.ashbyhq.com/perplexity/8a976851-9bef-4b07-8d36-567fa9540aef	2026-04-15	Ashby — AI Engineer	Member of Technical Staff (AI Inference Engineer)	Perplexity	added
https://jobs.ashbyhq.com/perplexity/598e1f7d-b802-4de2-99ac-90eb2bc33315	2026-04-15	Ashby — AI Engineer	Member of Technical Staff (AI Infrastructure Engineer)	Perplexity	added
https://jobs.ashbyhq.com/perplexity/aa511ea8-96e3-42ba-b28f-5e222170bcee	2026-04-15	FDE — All portals	Member of Technical Staff (Forward Deployed Engineer, Applied AI)	Perplexity	added
https://jobs.ashbyhq.com/perplexity/0190699f-010b-44f2-8399-278899fef018	2026-04-15	Ashby — Agentic & MLOps	Member of Technical Staff (Machine Learning Engineer, Search)	Perplexity	added
https://jobs.ashbyhq.com/lovable/9f4963e7-be14-4dd9-99ce-05df2f06e22d	2026-04-15	Ashby — Agentic & MLOps	Engineer - Agents & Evals	Lovable	added
https://jobs.ashbyhq.com/llamaindex/fd7a074f-7d80-44b7-8520-8ac787387e92	2026-04-15	Ashby — AI Engineer	Multimodal AI Engineer, Document Understanding	LlamaIndex	added
https://jobs.ashbyhq.com/llamaindex/84bcd1df-a4da-421d-b325-45684d8b7e4d	2026-04-15	Ashby — AI Engineer	Applied AI Solutions Architect	LlamaIndex	added
https://jobs.ashbyhq.com/baseten/84c1801c-1a65-49fb-aaaa-beeafd530e7e	2026-04-15	FDE — All portals	Forward Deployed Engineer	Baseten	added
https://job-boards.greenhouse.io/censys/jobs/8286578002	2026-04-15	Greenhouse API	Senior Machine Learning Engineer	Censys	added
https://careers.upstart.com/jobs?gh_jid=7370621	2026-04-15	Greenhouse API	Principal Machine Learning Engineer	Upstart	added
https://job-boards.greenhouse.io/cresta/jobs/4759347008	2026-04-15	FDE — All portals	Senior Forward Deployed Engineer (AI Agent)	Cresta	added
https://job-boards.greenhouse.io/assemblyai/jobs/4650728005	2026-04-15	Voice AI — Engineer roles	Applied AI Engineer	AssemblyAI	added
https://job-boards.greenhouse.io/snorkelai/jobs/5831080004	2026-04-15	Greenhouse — AI Engineer	Staff Applied AI Engineer - Pre-Sales	Snorkel AI	added
https://job-boards.greenhouse.io/togetherai/jobs/5088817007	2026-04-15	Voice AI — Engineer roles	Senior Machine Learning Engineer, Voice AI	Together AI	added
https://jobs.ashbyhq.com/inkeep/f277f68d-c397-4919-beeb-67ee1e19dc11	2026-04-15	FDE — All portals	Forward Deployed Engineer, AI Agents	Inkeep	added
https://jobs.ashbyhq.com/ramp/d204e136-2749-42de-82b4-88a0dd352090	2026-04-15	Ashby — AI Engineer	Applied AI Engineer	Ramp	added
https://jobs.lever.co/imo-online/6fd7edae-2cf1-4d24-8e1c-99ac967ce5df	2026-04-15	Lever — AI Engineer	Staff AI Engineer	IMO Health	added
https://jobs.lever.co/imo-online/7076909a-2ce8-4c69-957f-ca36a3abf683	2026-04-15	Lever — AI Engineer	Staff AI / MLOps Engineer - Clinical AI	IMO Health	added
https://job-boards.greenhouse.io/xai/jobs/4701523007	2026-04-15	FDE — All portals	Forward Deployed AI Engineer - Enterprise	xAI	skipped_expired
https://jobs.ashbyhq.com/zapier/83ab14be-cd19-4091-84aa-2aa23833ab7d	2026-04-15	Ashby — AI Engineer	Applied AI Engineer	Zapier	skipped_expired
https://job-boards.greenhouse.io/grafanalabs/jobs/5689200004	2026-04-15	Greenhouse — AI Engineer	Senior AI Engineer	Grafana Labs	skipped_expired
